=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-2-17_14-1-6
====================================================================================
14:1:6 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
14:1:6 | [PermissionManager] Perm (FreeCamera) has been registered!
14:1:6 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuServerManager) has been registered!
14:1:6 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
14:1:6 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
14:1:6 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
14:1:6 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
14:1:6 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
14:1:6 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
14:1:6 | [PermissionManager] Perm (MenuBansManager) has been registered!
14:1:6 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
14:1:6 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWebHooks) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
14:1:6 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
14:1:6 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
14:1:6 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
14:1:6 | [PermissionManager] Perm (TerjePlayerManager) has been registered!
14:1:6 | [PermissionManager] Adding Super Admin (76561198104182080)
14:1:6 | [PermissionManager] Loaded UserGroups.json
14:1:6 | [PermissionManager] Perm (RZ_AdminCarForm_VPP) has been registered!
14:1:6 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
14:1:6 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
14:1:6 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
14:1:6 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
14:1:6 | Building Sets Loaded: 7
14:1:7 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
14:2:3 | Player "HUNTER2091" (steamId=76561198859579000) connected to server!
14:2:9 | Player ".Zalim." (steamId=76561199442471134) connected to server!
14:2:13 | Player "BodyaBo" (steamId=76561199339736526) connected to server!
14:2:13 | Player "Butch" (steamId=76561199023755511) connected to server!
14:2:18 | Player "VoMa" (steamId=76561198104182080) connected to server!
14:4:12 | Player "Maron Gasov" (steamId=76561198843347971) connected to server!
14:9:55 | "VoMa" (steamid=76561198104182080) toggled godmode
14:24:23 | "VoMa" (steamid=76561198104182080) toggled godmode
14:24:24 | "VoMa" (steamid=76561198104182080) toggled godmode
14:40:4 | Player "HUNTER2091" (steamId=76561198859579000) initiated disconnect process...
14:40:9 | Player "HUNTER2091" (steamId=76561198859579000) disconnected from server.
14:41:36 | Player "HUNTER2091" (steamId=76561198859579000) connected to server!
14:42:8 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<9148.309570, 263.210510, 11022.099609>)
14:42:8 | "VoMa": (steamid=76561198104182080) teleported to (pos=9148.31,0,11022.1)
14:59:18 | Player "Mk_Jackson" (steamId=76561199076505655) connected to server!
15:12:54 | Player "BodyaBo" (steamId=76561199339736526) initiated disconnect process...
15:12:59 | Player "BodyaBo" (steamId=76561199339736526) disconnected from server.
15:15:54 | Player "Bioking" (steamId=76561198884179595) connected to server!
15:18:34 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<5752.029785, 319.733582, 7044.350098>)
15:18:34 | "VoMa": (steamid=76561198104182080) teleported to (pos=5752.03,0,7044.35)
15:29:31 | Player "Allen" (steamId=76561199155730348) connected to server!
15:31:26 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<12198.000000, 37.466251, 6260.419922>)
15:31:26 | "VoMa": (steamid=76561198104182080) teleported to (pos=12198,0,6260.42)
15:31:33 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12173.262695, 39.203671, 6268.629395>)
15:31:34 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12162.471680, 39.530647, 6273.086914>)
15:31:34 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12151.127930, 40.036369, 6277.686523>)
15:31:35 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12138.404297, 40.090004, 6282.725586>)
15:31:51 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<12810.000000, 171.119919, 4451.279785>)
15:31:51 | "VoMa": (steamid=76561198104182080) teleported to (pos=12810,0,4451.28)
15:31:56 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12831.852539, 171.222427, 4456.686035>)
15:32:0 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12856.067383, 171.648254, 4465.681152>)
15:32:1 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12870.966797, 172.330765, 4464.596680>)
15:32:2 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12878.240234, 172.635193, 4461.185059>)
15:32:2 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12885.461914, 172.715942, 4456.908203>)
15:32:2 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12892.702148, 172.623169, 4451.713379>)
15:32:3 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12899.111328, 172.478317, 4446.860352>)
15:32:3 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12904.457031, 172.264130, 4442.292969>)
15:32:15 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<12625.400391, 45.050655, 5707.990234>)
15:32:15 | "VoMa": (steamid=76561198104182080) teleported to (pos=12625.4,0,5707.99)
15:32:26 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<12758.099609, 174.284760, 4418.479980>)
15:32:26 | "VoMa": (steamid=76561198104182080) teleported to (pos=12758.1,0,4418.48)
15:32:28 | "VoMa" (steamid=76561198104182080) toggled freecam
15:32:30 | "VoMa" (steamid=76561198104182080) toggled freecam
15:32:32 | "VoMa" (steamid=76561198104182080) toggled freecam
15:32:45 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<12911.311523, 172.256744, 4432.041016>)
15:32:47 | "VoMa" (steamid=76561198104182080) toggled freecam
15:33:18 | "VoMa" (steamid=76561198104182080) Spawned Item: (Lockpick)
15:33:52 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<5765.959961, 322.827515, 7019.290039>)
15:33:52 | "VoMa": (steamid=76561198104182080) teleported to (pos=5765.96,0,7019.29)
15:46:8 | "VoMa" (steamid=76561198104182080) toggled godmode
15:46:9 | "VoMa" (steamid=76561198104182080) toggled godmode
15:46:30 | Player "Allen" (steamId=76561199155730348) initiated disconnect process...
15:46:31 | Player "Allen" (steamId=76561199155730348) disconnected early from server (EXIT NOW).
15:46:34 | Player "Art_Man" (steamId=76561198119544941) connected to server!
15:46:35 | Player "Allen" (steamId=76561199155730348) disconnected from server.
15:49:49 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<2175.120117, 92.013245, 3386.909912>)
15:49:49 | "VoMa": (steamid=76561198104182080) teleported to (pos=2175.12,0,3386.91)
15:49:56 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<2157.036865, 91.513672, 3373.290771>)
15:50:1 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<2127.277344, 91.629143, 3352.784424>)
16:0:46 | Player "Bioking" (steamId=76561198884179595) initiated disconnect process...
16:4:5 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<4247.640137, 283.490143, 7100.290039>)
