=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-2-8_14-4-31
====================================================================================
14:4:31 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
14:4:31 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
14:4:31 | [PermissionManager] Perm (FreeCamera) has been registered!
14:4:31 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
14:4:31 | [PermissionManager] Perm (MenuItemManager) has been registered!
14:4:31 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
14:4:31 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
14:4:31 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
14:4:31 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
14:4:31 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
14:4:31 | [PermissionManager] Perm (MenuServerManager) has been registered!
14:4:31 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
14:4:31 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
14:4:31 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
14:4:31 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
14:4:31 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
14:4:31 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
14:4:31 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
14:4:31 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
14:4:31 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
14:4:31 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
14:4:31 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
14:4:31 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
14:4:31 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
14:4:31 | [PermissionManager] Perm (MenuObjectManager) has been registered!
14:4:31 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
14:4:31 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
14:4:31 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
14:4:31 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
14:4:31 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
14:4:31 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
14:4:31 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
14:4:31 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
14:4:31 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
14:4:31 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
14:4:31 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
14:4:31 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
14:4:31 | [PermissionManager] Perm (MenuBansManager) has been registered!
14:4:31 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
14:4:31 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
14:4:31 | [PermissionManager] Perm (MenuWebHooks) has been registered!
14:4:31 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
14:4:31 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
14:4:31 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
14:4:31 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
14:4:31 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
14:4:31 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
14:4:31 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
14:4:31 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
14:4:31 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
14:4:31 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
14:4:31 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
14:4:31 | [PermissionManager] Perm (EspToolsMenu) has been registered!
14:4:31 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
14:4:31 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
14:4:31 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
14:4:31 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
14:4:31 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
14:4:31 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
14:4:31 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
14:4:31 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
14:4:31 | [PermissionManager] Perm (TerjePlayerManager) has been registered!
14:4:31 | [PermissionManager] Adding Super Admin (76561198104182080)
14:4:31 | [PermissionManager] Loaded UserGroups.json
14:4:31 | [PermissionManager] Perm (RZ_AdminCarForm_VPP) has been registered!
14:4:31 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
14:4:31 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
14:4:31 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
14:4:31 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
14:4:31 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
14:4:31 | Building Sets Loaded: 7
14:4:32 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
14:5:51 | Player "BodyaBo" (steamId=76561199339736526) connected to server!
14:5:59 | Player "Moon" (steamId=76561199485344583) connected to server!
14:8:15 | Player "VoMa" (steamId=76561198104182080) connected to server!
14:8:26 | "VoMa" (steamid=76561198104182080) toggled freecam
14:8:36 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<8231.400391, 469.179993, 9035.629883>)
14:8:36 | "VoMa": (steamid=76561198104182080) teleported to (pos=8231.4,0,9035.63)
14:8:38 | "VoMa" (steamid=76561198104182080) toggled freecam
14:8:47 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<8235.072266, 469.330597, 9016.837891>)
14:9:1 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<8233.404297, 469.305450, 9023.136719>)
14:9:2 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<8230.523438, 469.212341, 9032.580078>)
14:9:2 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<8227.208984, 469.274628, 9044.250977>)
14:9:3 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<8223.912109, 469.573242, 9055.726563>)
14:9:4 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<8235.208008, 468.355408, 9065.262695>)
14:9:4 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<8246.248047, 466.707153, 9070.339844>)
14:9:5 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<8254.621094, 465.773193, 9074.054688>)
14:9:46 | "76561198104182080" (steamid=76561198104182080) teleported to (pos=<5741.759766, 317.184692, 7070.180176>)
14:9:46 | "VoMa": (steamid=76561198104182080) teleported to (pos=5741.76,0,7070.18)
14:9:49 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5728.622559, 323.401886, 7021.426270>)
14:9:50 | "VoMa" (steamid=76561198104182080) teleported to crosshair (pos=<5722.822754, 325.675446, 7012.254883>)
14:9:56 | "VoMa" (steamid=76561198104182080) toggled godmode
15:15:17 | Player "PieceDuck" (steamId=76561198161108074) connected to server!
15:46:56 | Player "Moon" (steamId=76561199485344583) initiated disconnect process...
15:47:1 | Player "Moon" (steamId=76561199485344583) disconnected from server.
16:0:56 | Player "AMEPIKAHEC" (steamId=76561199425145642) connected to server!
16:30:43 | Player "BodyaBo" (steamId=76561199339736526) initiated disconnect process...
16:30:48 | Player "BodyaBo" (steamId=76561199339736526) disconnected from server.
16:43:35 | Player "AMEPIKAHEC" (steamId=76561199425145642) initiated disconnect process...
16:43:36 | Player "AMEPIKAHEC" (steamId=76561199425145642) disconnected early from server (EXIT NOW).
16:43:40 | Player "AMEPIKAHEC" (steamId=76561199425145642) disconnected from server.
16:51:13 | Player "AMEPIKAHEC" (steamId=76561199425145642) connected to server!
16:56:13 | "PieceDuck" (steamid=76561198161108074) toggled freecam
16:56:17 | "PieceDuck" (steamid=76561198161108074) teleported to crosshair (pos=<5728.285645, 326.236877, 7001.108887>)
16:56:18 | "PieceDuck" (steamid=76561198161108074) toggled freecam
16:57:28 | "PieceDuck" (steamid=76561198161108074) toggled freecam
16:57:31 | "PieceDuck" (steamid=76561198161108074) teleported to crosshair (pos=<5727.001465, 325.379974, 7012.501953>)
16:57:32 | "PieceDuck" (steamid=76561198161108074) toggled freecam
17:2:22 | Player "PieceDuck" (steamId=76561198161108074) initiated disconnect process...
17:2:24 | Player "PieceDuck" (steamId=76561198161108074) disconnected early from server (EXIT NOW).
17:2:27 | Player "PieceDuck" (steamId=76561198161108074) disconnected from server.
17:40:16 | Player "AMEPIKAHEC" (steamId=76561199425145642) initiated disconnect process...
