=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-2-10_14-1-6
====================================================================================
14:1:6 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
14:1:6 | [PermissionManager] Perm (FreeCamera) has been registered!
14:1:6 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuServerManager) has been registered!
14:1:6 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
14:1:6 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
14:1:6 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
14:1:6 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
14:1:6 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
14:1:6 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
14:1:6 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
14:1:6 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
14:1:6 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
14:1:6 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
14:1:6 | [PermissionManager] Perm (MenuBansManager) has been registered!
14:1:6 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
14:1:6 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWebHooks) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
14:1:6 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
14:1:6 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
14:1:6 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
14:1:6 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
14:1:6 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
14:1:6 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
14:1:6 | [PermissionManager] Perm (TerjePlayerManager) has been registered!
14:1:6 | [PermissionManager] Adding Super Admin (76561198104182080)
14:1:6 | [PermissionManager] Loaded UserGroups.json
14:1:6 | [PermissionManager] Perm (RZ_AdminCarForm_VPP) has been registered!
14:1:6 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
14:1:6 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
14:1:6 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
14:1:6 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
14:1:6 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
14:1:6 | Building Sets Loaded: 7
14:1:6 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
14:2:5 | Player "HUNTER2091" (steamId=76561198859579000) connected to server!
14:2:7 | Player "BodyaBo" (steamId=76561199339736526) connected to server!
14:2:10 | Player "Mk_Jackson" (steamId=76561199076505655) connected to server!
14:23:6 | Player "BodyaBo" (steamId=76561199339736526) initiated disconnect process...
14:23:11 | Player "BodyaBo" (steamId=76561199339736526) disconnected from server.
14:50:38 | Player "HUNTER2091" (steamId=76561198859579000) initiated disconnect process...
14:50:43 | Player "HUNTER2091" (steamId=76561198859579000) disconnected from server.
15:13:20 | Player "Mk_Jackson" (steamId=76561199076505655) initiated disconnect process...
15:13:25 | Player "Mk_Jackson" (steamId=76561199076505655) disconnected from server.
15:17:25 | Player "BodyaBo" (steamId=76561199339736526) connected to server!
15:50:47 | Player "kirovmv77" (steamId=76561199109588867) connected to server!
16:2:56 | Player "BodyaBo" (steamId=76561199339736526) initiated disconnect process...
16:3:1 | Player "BodyaBo" (steamId=76561199339736526) disconnected from server.
16:37:52 | Player "kirovmv77" (steamId=76561199109588867) initiated disconnect process...
16:37:57 | Player "kirovmv77" (steamId=76561199109588867) disconnected from server.
16:49:21 | Player "kirovmv77" (steamId=76561199109588867) connected to server!
17:3:59 | Player "kirovmv77" (steamId=76561199109588867) initiated disconnect process...
17:4:4 | Player "kirovmv77" (steamId=76561199109588867) disconnected from server.
17:4:34 | Player "BodyaBo" (steamId=76561199339736526) connected to server!
17:5:44 | Player "kirovmv77" (steamId=76561199109588867) connected to server!
17:32:24 | Player "kirovmv77" (steamId=76561199109588867) initiated disconnect process...
17:32:29 | Player "kirovmv77" (steamId=76561199109588867) disconnected from server.
17:32:57 | Player "kirovmv77" (steamId=76561199109588867) connected to server!
17:36:13 | Player "AMEPIKAHEC" (steamId=76561199425145642) connected to server!
17:58:0 | Player "kirovmv77" (steamId=76561199109588867) initiated disconnect process...
17:58:0 | Player "BodyaBo" (steamId=76561199339736526) initiated disconnect process...
17:58:0 | Player "AMEPIKAHEC" (steamId=76561199425145642) initiated disconnect process...
